Driver_ID,Name,Phone,@lat,@lon,Driver_at_restaurant_datetime,Delivered_to_consumer_datetime,Total_time_elapsed
1001,Lenny,772-7670-35,49.5379798,8.5122193,14 20:39:32,14 20:52:03,0 days 00:24:18.000000000
1002,Aiden,991-2558-73,49.4854727,8.4659529,07 20:36:00,07 20:49:02,0 days 00:32:34.000000000
1003,Joyce,488-0189-19,49.4995342,8.4677676,13 20:28:16,13 20:52:44,0 days 01:17:35.000000000
1004,Vivian,200-4828-39,49.4858978,8.4623206,22 20:01:20,22 20:18:01,0 days 00:30:08.000000000
1005,Charlotte,058-0096-47,49.4881481,8.4594836,03 19:36:20,03 19:45:26,0 days 00:43:34.000000000
1006,John,871-7377-64,49.5012503,8.5407502,,09 02:13:51,0 days 00:34:56.000000000
1007,Derek,480-7861-86,49.4904251,8.4684498,18 01:51:16,18 02:08:40,0 days 00:39:54.000000000
1008,Sydney,006-6232-32,49.4902636,8.4675297,02 02:28:26,02 03:17:48,0 days 01:04:18.000000000
1009,Amy,345-0345-10,49.5350344,8.4361515,07 02:01:49,07 02:19:06,0 days 01:28:41.000000000
1010,Vincent,205-7805-28,49.4495831,8.4666123,,22 01:49:26,0 days 00:45:33.000000000
1011,Grace,041-5526-05,49.4955712,8.4895813,02 18:35:25,02 18:47:56,0 days 01:33:31.000000000
1012,Sydney,399-5442-30,49.5030042,8.5004562,04 18:28:10,04 18:56:03,0 days 00:53:47.000000000
1013,Ned,139-0331-32,49.5600778,8.4890057,16 18:53:21,16 19:37:36,0 days 01:21:44.000000000
1014,Arthur,331-2336-80,49.478435,8.5067231,25 04:05:33,25 04:48:35,0 days 00:50:46.000000000
1015,Ellia,723-2921-81,49.4586451,8.5580361,22 03:42:16,22 04:19:23,0 days 00:44:39.000000000
1016,Briony,200-1633-55,49.4809089,8.4725501,03 02:44:58,03 03:05:16,0 days 00:34:13.000000000
1017,Madaline,844-6436-34,49.4934355,8.4693561,,12 21:11:51,0 days 00:34:35.000000000
1018,Jessica,714-6496-96,49.493624,8.4680098,,26 04:51:38,0 days 00:34:10.000000000
1019,Rubie,037-9954-99,49.476647,8.4885428,07 03:22:04,07 03:37:09,0 days 00:31:13.000000000
1020,Valeria,144-2005-78,49.4651613,8.4866869,14 20:02:26,14 20:34:52,0 days 01:09:29.000000000
1021,Penelope,428-2422-33,49.4555819,8.4920687,10 19:19:02,10 19:50:40,0 days 00:54:09.000000000
